YEAR,ZIPCODE,STATE,REGION,Nearest_UrgentCare,Nearest_emDepart,Nearest_medICU,Nearest_traumaCenter,Nearest_pedICU,Nearest_healthClinic,percent_uninsured,Median_household_income,STATE_ABBR
2020,95747,California,West,4.36,5.05,5.05,5.05,5.37,7.12,2.42,113991.0,CA
2020,95757,California,West,2.66,5.3,5.3,5.78,11.51,5.02,2.04,108507.0,CA
2020,95758,California,West,0.98,2.98,2.98,3.39,9.05,2.82,2.37,92222.0,CA
2020,95762,California,West,1.38,4.27,4.27,11.46,10.86,11.91,1.48,136203.0,CA
2020,95765,California,West,1.16,3.66,3.66,3.66,4.77,11.25,3.12,107776.0,CA
2020,95776,California,West,7.47,2.34,2.34,2.43,16.65,2.33,4.85,84856.0,CA
2020,95867,California,West,1.01,0.78,0.78,2.04,0.78,0.1,6.15,69560.0,CA
2020,95840,California,West,1.01,0.78,0.78,2.04,0.78,0.1,6.15,69560.0,CA
2020,95811,California,West,1.19,1.03,1.03,2.19,1.03,0.31,6.15,69560.0,CA
2020,94257,California,West,,,,,,,6.15,69560.0,CA
2020,94240,California,West,,,,,,,6.15,69560.0,CA
2020,94298,California,West,,,,,,,5.38,37595.0,CA
2020,94296,California,West,,,,,,,5.38,37595.0,CA
2020,94295,California,West,,,,,,,5.38,37595.0,CA
2020,94299,California,West,,,,,,,5.38,37595.0,CA
2020,95814,California,West,1.61,1.44,1.44,2.61,1.44,0.66,5.38,37595.0,CA
2020,95812,California,West,1.87,1.7,1.7,2.87,1.7,0.92,5.38,37595.0,CA
2020,94289,California,West,,,,,,,5.38,37595.0,CA
2020,94288,California,West,,,,,,,5.38,37595.0,CA
2020,94287,California,West,,,,,,,5.38,37595.0,CA
2020,94279,California,West,,,,,,,5.38,37595.0,CA
2020,94278,California,West,,,,,,,5.38,37595.0,CA
2020,94277,California,West,,,,,,,5.38,37595.0,CA
2020,94274,California,West,,,,,,,5.38,37595.0,CA
2020,94273,California,West,,,,,,,5.38,37595.0,CA
2020,94271,California,West,,,,,,,5.38,37595.0,CA
2020,94269,California,West,,,,,,,5.38,37595.0,CA
2020,94268,California,West,,,,,,,5.38,37595.0,CA
